A/C,R,O,N,RU,U,UO,RO
coco MR,0.155172414,0.112068966,0.00862069,0.206896552,0.362068966,0.051724138,0.103448276
coco NR,0.189189189,0.148648649,0.027027027,0.216216216,0.216216216,0.162162162,0.040540541
horlicks LR,0.198979592,0.117346939,0.038265306,0.130102041,0.280612245,0.135204082,0.099489796
horlicks HR,0.133333333,0.066666667,0.066666667,0,0.333333333,0.2,0.2
horlicks KR,0.264,0.16,0.184,0.048,0.152,0.04,0.152
horlicks MR,0.138613861,0.089108911,0,0.198019802,0.316831683,0.108910891,0.148514851
horlicks NR,0.182795699,0.150537634,0.032258065,0.193548387,0.247311828,0.11827957,0.075268817
boost LR,0.120689655,0.155172414,0.034482759,0.068965517,0.293103448,0.137931034,0.189655172
boost HR,0.25,0,0,0,0.75,0,0
boost MR,0.2,0.1,0.1,0,0.4,0.2,0
boost KR,0.212962963,0.118518519,0.068518519,0.151851852,0.22962963,0.111111111,0.107407407
boost NR,0.166666667,0.140350877,0.01754386,0.078947368,0.359649123,0.114035088,0.122807018
nuts LR,0.146496815,0.108280255,0.025477707,0.152866242,0.305732484,0.127388535,0.133757962
nuts HR,0.268292683,0.097560976,0.024390244,0.195121951,0.292682927,0.024390244,0.097560976
nuts KR,0.211764706,0.117647059,0.135294118,0.129411765,0.235294118,0.117647059,0.052941176
nuts MR,0.202247191,0.134831461,0.02247191,0.134831461,0.269662921,0.08988764,0.146067416
nuts NR,0.208178439,0.137546468,0.044609665,0.107806691,0.241635688,0.126394052,0.133828996
runningnose YES,0.412878788,0.037878788,0.003787879,0.299242424,0.007575758,0,0.238636364
runningnose NO,0.075757576,0.173160173,0.088744589,0.034632035,0.404761905,0.17965368,0.043290043
sneeze YES,0.414179104,0.044776119,0,0.305970149,0,0,0.235074627
sneeze NO,0.072052402,0.170305677,0.091703057,0.028384279,0.412663755,0.181222707,0.043668122
cough YES,0.335135135,0.07027027,0,0.324324324,0,0.016216216,0.254054054
cough NO,0.151571165,0.14232902,0.077634011,0.064695009,0.34935305,0.147874307,0.066543438
wheezeBlocks YES,0.34893617,0.085106383,0,0.331914894,0,0.012765957,0.221276596
wheezeBlocks NO,0.126272912,0.142566191,0.085539715,0.034623218,0.384928717,0.16293279,0.063136456
headache YES,0.226666667,0.04,0,0.413333333,0,0.013333333,0.306666667
headache NO,0.190972222,0.145833333,0.072916667,0.057291667,0.328125,0.140625,0.064236111
itching YES,0.002463054,0.118226601,0.002463054,0.219211823,0.450738916,0.201970443,0.004926108
itching NO,0.446875,0.13125,0.128125,0.01875,0.01875,0.003125,0.253125
swelling YES,0,0.079365079,0,0.338624339,0.380952381,0.201058201,0
swelling NO,0.268156425,0.139664804,0.078212291,0.057728119,0.217877095,0.083798883,0.154562384
redrashes YES,0,0.068027211,0,0.414965986,0.306122449,0.210884354,0
redrashes NO,0.248704663,0.138169257,0.07253886,0.058721934,0.248704663,0.089810017,0.143350604
Age G3,0.161825726,0.112033195,0.058091286,0.182572614,0.257261411,0.149377593,0.078838174
Age G5,0.171428571,0.085714286,0.085714286,0.085714286,0.285714286,0.228571429,0.057142857
Age NO,0,0.333333333,0,0,0.666666667,0,0
Age G4,0.191489362,0.191489362,0.085106383,0.138297872,0.244680851,0.053191489,0.095744681
Age G2,0.226765799,0.092936803,0.040892193,0.100371747,0.267657993,0.100371747,0.171003717
Age G1,0.238095238,0.19047619,0.071428571,0.095238095,0.238095238,0.083333333,0.083333333
Sex F,0.153652393,0.115869018,0.057934509,0.156171285,0.289672544,0.120906801,0.105793451
Sex M,0.252279635,0.133738602,0.05775076,0.100303951,0.224924012,0.106382979,0.124620061
Fhistory YES,0.137554585,0.128820961,0,0.189956332,0.244541485,0.11790393,0.181222707
Fhistory NO,0.302238806,0.115671642,0.156716418,0.029850746,0.287313433,0.108208955,0
